Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
Yuya Hasegawa,2014,FSH,541,,,0.57,,,,,0.114,,,,,,,,,68
Hisayoshi Chono,2014,YOM,523,,,0.56,,,,,0.148,,,,,,,,,115
Daikan Yo,2014,NHF,540,,,0.42,,,,,0.202,,,,,,,,,106
Yohei Oshima,2014,CND,642,,,0.77,,,,,0.048,,,,,,,,,109
Hideto Asamura,2014,SEI,501,,,0.47,,,,,0.143,,,,,,,,,102
Kazuhiro Hatakeyama,2014,YAK,464,,,0.67,,,,,0.171,,,,,,,,,118
Ryosuke Kikuchi,2014,HIR,654,,,0.30,,,,,0.131,,,,,,,,,105
Ryoichi Adachi,2014,ORI,601,,,0.73,,,,,0.097,,,,,,,,,149
Kazuya Fujita,2014,RAK,579,,,0.29,,,,,0.048,,,,,,,,,109
Hiroki Uemoto,2014,HST,600,,,0.72,,,,,0.115,,,,,,,,,141
Shinnosuke Abe,2014,YOM,526,,,0.75,,,,,0.176,,,,,,,,,97
Haruki Nishikawa,2014,NHF,637,,,0.45,,,,,0.124,,,,,,,,,167
Akira Nakamura,2014,FSH,638,,,0.97,,,,,0.074,,,,,,,,,135
Shogo Akiyama,2014,SEI,561,,,0.71,,,,,0.101,,,,,,,,,149
Shingo Kawabata,2014,YAK,637,,,0.69,,,,,0.116,,,,,,,,,109
Yoshihiro Maru,2014,HIR,644,,,1.05,,,,,0.181,,,,,,,,,134
Takero Okajima,2014,RAK,618,,,0.80,,,,,0.099,,,,,,,,,144
Matt Murton,2014,HST,591,,,0.72,,,,,0.139,,,,,,,,,102
Shuichi Murata,2014,YOM,575,,,0.47,,,,,0.154,,,,,,,,,73
Keiji Obiki,2014,NHF,512,,,0.52,,,,,0.086,,,,,,,,,125
Takeya Nakamura,2014,SEI,466,,,0.64,,,,,0.322,,,,,,,,,69
Dae-Ho Lee,2014,FSH,625,,,0.47,,,,,0.154,,,,,,,,,87
Tetsuto Yamada,2014,YAK,685,,,0.78,,,,,0.215,,,,,,,,,146
Daichi Suzuki,2014,LOT,610,,,0.79,,,,,0.098,,,,,,,,,117
"Arai, Takahiro",2015,C,480,10,15.2,0.66,0.275,0.348,0.385,0.733,0.11,3.4,0.314,-2.2,0.5,55.1,10.2,0.341,130.6,111
"Kuriyama, Takumi",2015,L,622,11.6,14.1,0.82,0.268,0.358,0.371,0.73,0.103,2.3,0.303,3.4,0.2,71.3,5.8,0.337,131.6,107
"Tanaka, Kosuke",2015,C,590,5.8,17.8,0.32,0.274,0.325,0.413,0.737,0.138,5,0.327,3.8,-1.5,65.8,10.7,0.337,130,111
"Tanaka, Kensuke",2015,F,596,9.6,9.7,0.98,0.284,0.354,0.352,0.705,0.068,3.7,0.312,3.8,0.5,67.2,4.5,0.335,131,104
"Uchikawa, Seiichi",2015,H,585,7.7,9.4,0.82,0.284,0.34,0.395,0.735,0.112,2.1,0.296,-1.2,0.2,65.3,3.7,0.333,130.6,108
"Chono, Hisayoshi",2015,G,479,7.1,16.9,0.42,0.251,0.31,0.415,0.725,0.164,3.4,0.276,-1.9,-0.2,51.2,6.4,0.331,129.8,110
"Hernandez, Anderson",2015,D,548,6.4,19.3,0.33,0.271,0.317,0.4,0.716,0.129,3.3,0.322,0.7,-0.2,57.6,6.3,0.329,127.9,108
"Suzuki, Daichi",2015,M,564,8.3,10.3,0.81,0.263,0.33,0.366,0.695,0.103,3.2,0.286,0.5,-1.6,60.4,1,0.328,130.3,99
"Uemoto, Hiroki",2015,T,452,9.7,15.3,0.64,0.253,0.338,0.339,0.677,0.085,4.3,0.301,3.9,-0.7,47,4.7,0.327,129.6,101
"Baldiris, Aarom",2015,DB,525,8.2,11.8,0.69,0.258,0.333,0.391,0.725,0.133,0.5,0.271,-8.6,-,54.1,4.9,0.326,129.8,104
"Takai, Yuhei",2015,S,585,4.6,14,0.33,0.27,0.307,0.388,0.695,0.118,4.1,0.304,-3,-0.2,59.3,4.6,0.324,131.9,94
"Asamura, Hideto",2015,L,627,11,21.7,0.51,0.27,0.362,0.385,0.747,0.115,4.1,0.334,7,-1.2,74.2,8.2,0.342,131.7,111
"Nakajima, Hiroyuki",2015,Bs,483,11,19.3,0.57,0.24,0.342,0.357,0.699,0.118,1.2,0.286,-1.2,-0.5,48.6,-2.3,0.319,131,105
"Matsui, Kazuo",2015,E,501,8.6,16.4,0.52,0.256,0.324,0.366,0.69,0.11,4.4,0.292,-0.7,1.7,48.6,-4.1,0.315,131,95
"Murton, Matt",2015,T,583,5.3,13.2,0.4,0.276,0.316,0.375,0.691,0.099,1,0.305,0.4,-0.4,54.9,0.4,0.314,130.1,101
"Cruz, Luis",2015,M,532,4.5,12.4,0.36,0.255,0.289,0.401,0.691,0.146,1.3,0.264,1.1,-,51.1,-4.8,0.313,130.9,93
"Fujita, Kazuya",2015,E,451,6.2,6.7,0.93,0.27,0.326,0.349,0.676,0.079,3.4,0.277,1.6,0.3,43.3,-4.2,0.313,130.6,90
"Adachi, Ryoichi",2015,Bs,593,8.1,11.5,0.71,0.239,0.31,0.348,0.658,0.109,4.2,0.255,4.3,-2.6,54.6,-7.8,0.308,130.7,89
"Oshima, Yohei",2015,D,620,6.3,10.5,0.6,0.26,0.313,0.342,0.655,0.081,5.5,0.285,5,0.9,53.1,-4.9,0.303,132,91
"Kikuchi, Ryosuke",2015,C,644,4.5,14.3,0.32,0.254,0.292,0.343,0.636,0.089,4.9,0.291,0.8,0,50.2,-10,0.293,128.7,79
"Imamiya, Kenta",2015,H,530,6.4,15.7,0.41,0.228,0.279,0.326,0.605,0.098,3.7,0.261,3.8,-0.6,39,-16.8,0.284,129.7,69
"Goto, Mitsutaka",2015,E,444,2.7,10.8,0.25,0.237,0.265,0.346,0.611,0.109,3.3,0.247,0.7,-0.6,31.3,-15.4,0.28,130.8,68
"Nakamura, Yuhei",2015,S,502,8,15.9,0.5,0.231,0.299,0.276,0.575,0.045,2.1,0.276,-1,-0.2,32.5,-14.5,0.276,131.5,61
"Sumitani, Ginjiro",2015,L,443,3.6,19.6,0.18,0.211,0.247,0.281,0.528,0.07,1.2,0.258,-2.7,-,20.8,-25.8,0.25,131.7,40
"Nakashima, Takuya",2015,F,617,10.7,15.1,0.71,0.264,0.35,0.287,0.637,0.023,5.6,0.322,6,3.3,61.3,-3.6,0.318,130.9,87
"Sakamoto, Hayato",2015,G,558,11.6,14.2,0.82,0.269,0.353,0.401,0.754,0.132,3.8,0.298,2.2,0.3,65,12.8,0.343,128.9,120
"Yanagita, Yuki",2015,H,605,14.5,16.7,0.87,0.363,0.469,0.631,1.101,0.269,4.9,0.402,3.6,2.6,139.2,75.5,0.487,130.3,217
"Toritani, Takashi",2015,T,646,13.8,11.9,1.16,0.281,0.38,0.367,0.747,0.085,3.8,0.316,2.4,-0.6,78.8,18.4,0.351,130.2,124
"Yamada, Tetsuto",2015,S,646,12.5,17.2,0.73,0.329,0.416,0.61,1.027,0.282,5.9,0.353,6.5,4.4,128.2,67.8,0.45,132.1,192
"Akiyama, Shogo",2015,L,675,8.9,11.6,0.77,0.359,0.419,0.522,0.941,0.163,5.9,0.395,11.3,-3.2,122.4,51.4,0.424,131.7,167
"Tsutsugo, Yoshitomo",2015,DB,568,12,17.3,0.69,0.317,0.4,0.522,0.922,0.206,1.5,0.354,0.2,-,96.5,43.4,0.413,130.6,163
"Nakamura, Takeya",2015,L,599,11.4,28.7,0.4,0.278,0.367,0.559,0.926,0.28,1.7,0.343,2.1,0.2,100.6,37.6,0.407,132.3,157
"Kiyota, Ikuhiro",2015,M,548,9.9,17,0.58,0.317,0.387,0.503,0.89,0.186,4.5,0.366,1.7,0.3,89.5,31.8,0.401,131.6,158
"Kondo, Kensuke",2015,F,504,11.7,11.7,1,0.326,0.405,0.467,0.872,0.14,3.8,0.359,-0.2,0.3,82,28.9,0.4,131.3,152
"Lee, Dae-Ho",2015,H,584,10.6,18.7,0.57,0.282,0.368,0.524,0.892,0.241,0.9,0.303,-4.4,-0.4,92.7,31.3,0.395,129.2,155
"Pena, Wily Mo",2015,E,492,14.2,22.6,0.63,0.268,0.396,0.448,0.845,0.18,1.6,0.331,-4.3,-0.9,77.8,26,0.394,131.1,147
"Matsuda, Nobuhiro",2015,H,603,10,22.4,0.44,0.287,0.357,0.533,0.889,0.246,3.4,0.318,1.9,-2.2,93.8,30.4,0.391,130.8,151
"Lopez, Jose",2015,DB,565,7.8,14.5,0.54,0.291,0.347,0.496,0.843,0.205,1.7,0.303,-7.6,-0.2,85.1,32.3,0.388,130.3,138
"Kawabata, Shingo",2015,S,632,6.8,11.4,0.6,0.336,0.383,0.439,0.822,0.103,2.9,0.372,0.7,-0.4,89.9,30.8,0.377,127,133
"Hatakeyama, Kazuhiro",2015,S,584,10.6,15.8,0.67,0.268,0.344,0.471,0.815,0.203,0.9,0.276,-2.5,-,81.5,26.8,0.373,132.2,130
"Mejia, Ernesto",2015,L,525,8.6,29.1,0.29,0.235,0.307,0.471,0.778,0.237,0.7,0.285,-3.2,-,63.7,8.5,0.346,131.6,115
"Fukudome, Kosuke",2015,T,569,11.4,13.2,0.87,0.281,0.361,0.463,0.824,0.182,1.9,0.292,-1.3,-0.5,78.2,24.9,0.37,129.8,143
"Kajitani, Takayuki",2015,DB,578,9.3,22.8,0.41,0.275,0.342,0.425,0.767,0.15,5.1,0.345,3.9,0.1,70.6,16.6,0.351,130,117
"Laird, Brandon",2015,F,554,7.8,23.3,0.33,0.231,0.301,0.488,0.789,0.257,2.3,0.239,-3.3,0.2,69.5,11.2,0.352,130.7,124
"Luna, Hector",2015,D,564,10.1,13.7,0.74,0.292,0.367,0.397,0.764,0.105,4.1,0.329,0.6,1.9,69.6,16.8,0.352,131.3,125
"Mori, Tomoya",2015,L,531,8.3,26.9,0.31,0.287,0.357,0.468,0.825,0.181,1.6,0.375,-2.1,-1.4,74.6,18.8,0.371,132.2,130
"Itoi, Yoshio",2015,Bs,565,12.7,13.8,0.92,0.262,0.366,0.413,0.78,0.151,3.1,0.282,-2.9,0.5,72.7,13.2,0.356,130.7,128
"Nishikawa, Haruki",2015,F,521,11.5,18.8,0.61,0.276,0.368,0.391,0.759,0.115,7.6,0.345,1.8,2.7,66.1,11.3,0.353,130.8,121
"Gomez, Mauro",2015,T,601,12,22.3,0.54,0.271,0.364,0.423,0.787,0.152,0.6,0.333,-5.4,-0.4,75.8,19.6,0.356,129.8,135
"Kakunaka, Katsuya",2015,M,484,9.7,10.7,0.9,0.293,0.363,0.405,0.768,0.112,4.9,0.321,2.4,-0.1,63.6,12.7,0.359,130.6,123
"Nakata, Sho",2015,F,611,10.5,19.6,0.53,0.263,0.339,0.479,0.817,0.215,1.6,0.283,-6.5,0.2,80.8,16.5,0.36,131.3,131
"Maru, Yoshihiro",2015,C,633,14.8,22.6,0.66,0.249,0.361,0.413,0.774,0.164,3.9,0.304,0.1,0.1,84,24.7,0.364,129.3,125
"Hirata, Ryosuke",2015,D,559,11.4,15.4,0.74,0.283,0.369,0.43,0.799,0.147,4.4,0.321,-2.3,-0.6,75.9,23.6,0.368,130,137
"Nakamura, Akira",2015,H,590,11.2,8,1.4,0.3,0.386,0.35,0.735,0.049,2.6,0.328,-1.6,-0.2,76,14,0.356,128.8,115
"Nakata, Sho",2016,F,624,7.5,20.2,0.37,0.25,0.308,0.431,0.738,0.181,2,0.277,-4.6,-0.1,68.8,2.5,0.332,132.8,108
"Oshima, Yohei",2016,D,656,7,10.5,0.67,0.292,0.348,0.382,0.73,0.09,6.5,0.326,0.8,-0.4,73.2,5.3,0.333,130.7,108
"Sakaguchi, Tomotaka",2016,S,607,10.4,10.9,0.95,0.295,0.375,0.34,0.716,0.046,4.4,0.333,-0.3,-0.4,70.6,7.8,0.339,132.6,99
"Suzuki, Daichi",2016,M,583,8.6,9.6,0.89,0.285,0.356,0.389,0.745,0.104,3,0.307,1.5,0.1,68.8,6.8,0.342,132.8,114
"Matsuda, Nobuhiro",2016,H,609,7.9,23.2,0.34,0.259,0.325,0.467,0.792,0.208,4.3,0.299,3.9,-1.3,79.3,14.6,0.358,132,123
"Kawabata, Shingo",2016,S,458,7.4,6.8,1.1,0.302,0.354,0.367,0.721,0.064,3,0.323,-0.8,0.5,55.5,8.1,0.346,131.9,97
"Mogi, Eigoro",2016,E,481,6.2,19.8,0.32,0.278,0.33,0.408,0.738,0.13,6.4,0.343,1.9,0.2,59.2,8,0.349,132.2,109
"Tanaka, Kosuke",2016,C,679,11.3,17.5,0.65,0.265,0.367,0.372,0.739,0.107,5.1,0.313,4,-2.6,84.7,14.5,0.35,131.1,109
"Kuwahara, Masayuki",2016,DB,522,7.3,17.8,0.41,0.284,0.356,0.413,0.769,0.13,5.2,0.335,-0.4,-1.1,67.2,13.2,0.355,130.5,113
"Tanaka, Kensuke",2016,F,626,11,8.9,1.23,0.272,0.361,0.312,0.674,0.041,4,0.298,3.7,0.4,68,1.4,0.33,132.4,96
"Gomez, Mauro",2016,T,554,8.7,23.5,0.37,0.255,0.325,0.428,0.753,0.173,1.8,0.301,-2.7,-0.1,66.2,8.8,0.343,131.4,112
"Takayama, Shun",2016,T,530,5.1,20.6,0.25,0.275,0.316,0.391,0.707,0.115,4,0.337,2.2,-0.7,56.6,1.8,0.327,131.3,99
"Nishino, Masahiro",2016,Bs,610,9.2,9,1.02,0.264,0.335,0.331,0.666,0.067,5.7,0.29,3.5,0.6,59.6,-5.3,0.316,131.4,93
"Okajima, Takero",2016,E,485,9.5,10.1,0.94,0.252,0.338,0.345,0.683,0.093,3.7,0.272,-1.5,-2.3,50.8,-0.8,0.325,132,95
"Akaminai, Ginji",2016,E,497,12.3,9.9,1.24,0.274,0.369,0.333,0.702,0.059,1.6,0.303,-1,-0.2,50.8,-2.1,0.322,132.1,101
"Toritani, Takashi",2016,T,533,14.1,15,0.94,0.236,0.344,0.323,0.667,0.087,3.8,0.269,-1.5,0.9,52.9,-2.3,0.317,131.6,94
"Kaneko, Yuji",2016,L,520,7.7,13.3,0.58,0.265,0.331,0.311,0.642,0.046,6.8,0.309,6.3,1.7,51.3,-4,0.317,132.2,80
"Imamiya, Kenta",2016,H,590,8,14.6,0.55,0.245,0.312,0.37,0.682,0.125,5.4,0.276,3.5,-0.3,58.1,-4.6,0.317,131.4,92
"Adachi, Ryoichi",2016,Bs,488,8.6,10.9,0.79,0.273,0.344,0.323,0.667,0.05,3.2,0.309,1.4,-1.3,47.5,-4.4,0.316,131.5,93
"Kuramoto, Toshihiko",2016,DB,566,3.9,17.3,0.22,0.294,0.323,0.343,0.665,0.049,2,0.356,-4,-0.8,53.6,-4.9,0.312,131.1,80
"Donoue, Naomichi",2016,D,507,5.3,13.6,0.39,0.254,0.298,0.362,0.66,0.107,2.5,0.287,-0.3,-0.2,44.7,-7.8,0.303,131.1,85
"Nakashima, Takuya",2016,F,600,10.5,19.5,0.54,0.243,0.333,0.268,0.601,0.025,4.9,0.322,4.4,0.2,51.9,-11.9,0.302,132.3,75
"Fujita, Kazuya",2016,E,449,4.2,9.8,0.43,0.265,0.297,0.321,0.618,0.056,3.1,0.294,-1.7,-0.2,32.9,-14.8,0.284,131.8,71
"Kobayashi, Seiji",2016,G,458,7.9,16.6,0.47,0.204,0.276,0.269,0.544,0.065,2.1,0.241,-1.3,-0.1,25.2,-22.2,0.26,130.8,49
"Kuriyama, Takumi",2016,L,569,14.6,15.3,0.95,0.279,0.39,0.369,0.759,0.09,1.6,0.333,-1.5,-,74.2,13.7,0.358,132.2,118
"Chono, Hisayoshi",2016,G,618,5.3,12.6,0.42,0.283,0.326,0.403,0.729,0.12,4.1,0.31,-4.2,0.5,65.5,1.6,0.326,131.5,102
"Uchikawa, Seiichi",2016,H,605,6.3,8.8,0.72,0.304,0.345,0.435,0.781,0.131,1.9,0.306,-0.7,-0.3,79.3,15,0.359,131.8,119
"Yoh, Dai-kang",2016,F,555,7.6,21.8,0.35,0.293,0.359,0.43,0.79,0.137,2.7,0.363,-0.2,-1.5,73,13.9,0.359,132.6,125
"Jones, Garrett",2016,G,465,8.4,22.8,0.37,0.258,0.327,0.486,0.813,0.227,1.3,0.291,0,-0.4,62.5,14.4,0.363,131.6,126
"Suzuki, Seiya",2016,C,528,10,15,0.67,0.335,0.404,0.612,1.015,0.277,5.8,0.352,-2.1,-1.5,109.6,55,0.457,131.5,181
"Yamada, Tetsuto",2016,S,590,16.4,17.1,0.96,0.304,0.425,0.607,1.032,0.304,6.1,0.312,0.5,3.9,120.8,59.8,0.453,132.2,179
"Yanagita, Yuki",2016,H,536,18.7,18.1,1.03,0.306,0.446,0.523,0.969,0.217,6.2,0.361,6,2.7,103.8,46.8,0.44,131.2,181
"Sakamoto, Hayato",2016,G,576,14.1,11.6,1.21,0.344,0.433,0.555,0.988,0.211,4.8,0.359,-0.4,0.9,109.6,50,0.435,131.3,176
"Kakunaka, Katsuya",2016,M,607,11.2,10.5,1.06,0.339,0.417,0.461,0.877,0.122,4.7,0.37,-0.9,0.3,97,32.4,0.396,132.6,154
"Balentien, Wladimir",2016,S,537,13.4,21.6,0.62,0.269,0.369,0.516,0.885,0.247,0.9,0.292,-1.4,-0.4,85.3,29.7,0.394,132.9,139
"Maru, Yoshihiro",2016,C,652,12.9,16.4,0.79,0.291,0.389,0.481,0.87,0.19,6.6,0.328,3.1,0.3,103.3,35.8,0.394,131.3,143
"Tsutsugo, Yoshitomo",2016,DB,561,15.5,18.7,0.83,0.322,0.43,0.68,1.11,0.358,2.6,0.332,-2.2,-0.4,125.9,67.8,0.479,132.1,200
"Itoi, Yoshio",2016,Bs,616,12.2,13.6,0.89,0.306,0.398,0.451,0.849,0.145,5.1,0.337,1.9,1.7,94,28.5,0.387,131.6,146
"Arai, Takahiro",2016,C,513,10.5,19.7,0.53,0.3,0.372,0.485,0.857,0.185,2.1,0.346,0.8,-0.4,77.9,24.8,0.385,130.4,137
"Kajitani, Takayuki",2016,DB,450,10.9,24.4,0.45,0.273,0.359,0.48,0.838,0.207,7,0.336,5,1.4,67.5,21,0.383,132,131
"Wheeler, Zelous",2016,E,589,9.8,20.9,0.47,0.265,0.351,0.478,0.829,0.213,2.7,0.298,-2.7,-0.1,87,24.4,0.38,131.8,136
"Asamura, Hideto",2016,L,611,6.2,17.7,0.35,0.309,0.357,0.51,0.867,0.201,2.7,0.343,2.8,-1,95,30,0.39,132.6,140
"Mejia, Ernesto",2016,L,583,10.1,25.4,0.4,0.252,0.333,0.509,0.842,0.256,1.5,0.281,-2.8,-0.2,83.8,21.8,0.375,132.5,130
"Murata, Shuichi",2016,G,576,6.6,14.4,0.46,0.302,0.354,0.505,0.858,0.202,1.1,0.319,-3.7,-0.9,84.7,25.1,0.379,131.7,139
"Lopez, Jose",2016,DB,518,4.6,14.5,0.32,0.263,0.299,0.534,0.833,0.271,1.5,0.244,-4.8,-,71.1,17.5,0.366,131.3,124
"Okada, Takahiro",2016,Bs,513,9.2,20.5,0.45,0.284,0.357,0.471,0.828,0.187,2.6,0.326,-3.2,0.4,70.1,15.6,0.366,131.6,131
"Akiyama, Shogo",2016,L,671,11.5,15.4,0.75,0.296,0.385,0.422,0.807,0.126,5.2,0.34,11.5,0.5,92.9,21.6,0.369,132.6,127
"Kikuchi, Ryosuke",2016,C,640,6.3,16.6,0.38,0.315,0.358,0.432,0.79,0.117,4.9,0.367,8.4,0.2,89.5,23.3,0.37,130.1,119
"Hirata, Ryosuke",2016,D,494,14.6,18,0.81,0.248,0.358,0.411,0.769,0.163,3,0.281,2.6,-0.1,67.4,16.3,0.365,131.2,121
"Nishikawa, Haruki",2016,F,593,12.3,19.1,0.65,0.314,0.405,0.398,0.802,0.083,6.5,0.398,5,4.3,83.2,20.1,0.371,132,135
"Nakamura, Akira",2016,H,612,16.2,8.7,1.87,0.287,0.416,0.377,0.793,0.09,2.6,0.308,-0.6,-0.9,85.9,20.8,0.371,130.9,133
"Despaigne, Alfredo",2016,M,570,11.2,15.6,0.72,0.28,0.361,0.48,0.841,0.2,1.8,0.295,-3,-1.1,80.6,20,0.372,132.9,140
"Vicied, Dayan",2016,D,471,9.3,14.4,0.65,0.274,0.352,0.486,0.838,0.212,2,0.28,2.6,0.2,67.4,18.7,0.374,131.1,132
"Fukudome, Kosuke",2016,T,523,11.7,14.9,0.78,0.311,0.392,0.453,0.845,0.141,2,0.351,-0.3,-0.4,75.2,21,0.375,131,139
"Laird, Brandon",2016,F,598,7.4,23.1,0.32,0.263,0.319,0.516,0.835,0.252,0.8,0.281,-5.2,-,83.7,20.1,0.37,133,136
"Kikuchi, Ryosuke",2017,C,629,5.1,17,0.3,0.271,0.311,0.405,0.716,0.135,4.5,0.312,4.5,-1.2,72.6,6.6,0.334,131.4,98
"Shimauchi, Hiroaki",2017,E,577,11.1,11.6,0.96,0.265,0.352,0.391,0.743,0.126,2.7,0.281,-1.7,-1.7,67.6,6.3,0.338,133.4,113
"Imamiya, Kenta",2017,H,623,6.1,14.9,0.41,0.264,0.317,0.422,0.739,0.158,6.7,0.296,4.1,0.9,73.4,7.1,0.338,132.4,110
"Akaminai, Ginji",2017,E,590,9.5,12.5,0.76,0.293,0.362,0.367,0.728,0.074,1.9,0.335,3.1,-0.1,69.6,6.9,0.339,133.8,109
"Nakajima, Hiroyuki",2017,Bs,489,9.4,19,0.49,0.285,0.36,0.392,0.752,0.107,0.5,0.341,-3.4,-,58.4,6.5,0.341,132.8,117
"Chono, Hisayoshi",2017,G,516,8.9,19,0.47,0.261,0.334,0.421,0.755,0.16,4.1,0.3,-2.5,0.9,62.1,8,0.341,130.2,109
"Kuwahara, Masayuki",2017,DB,664,6.8,17.5,0.39,0.269,0.332,0.415,0.747,0.145,4.6,0.316,4.1,-2.4,80.2,10.5,0.341,131,105
"Suzuki, Daichi",2017,M,588,9.4,14.5,0.65,0.26,0.35,0.398,0.748,0.138,3.8,0.291,1.4,-0.9,70.9,8.4,0.342,133.8,117
"Nakatani, Masahiro",2017,T,455,7.9,21.1,0.38,0.241,0.308,0.443,0.751,0.202,3.2,0.265,-0.8,0,55.4,7.7,0.342,132.4,111
"Oshima, Yohei",2017,D,521,7.1,12.7,0.56,0.313,0.365,0.387,0.752,0.074,5,0.356,-0.7,1.4,62.1,7.5,0.339,131.9,116
"Amador, Japhet",2017,E,460,8.5,22.2,0.38,0.237,0.304,0.424,0.729,0.187,0.4,0.259,-7.7,-0.4,51.1,2.2,0.33,132.7,104
"Kobayashi, Seiji",2017,G,443,9.3,14.4,0.64,0.206,0.285,0.257,0.542,0.05,2.2,0.241,-2.6,0.3,25.2,-21.3,0.259,131.2,51
"Nakamura, Akira",2017,H,600,11.2,9.5,1.18,0.27,0.355,0.35,0.705,0.08,2.5,0.291,1.4,-1.3,65.1,1.3,0.326,132.6,103
"Ota, Taishi",2017,F,457,6.1,19.3,0.32,0.258,0.302,0.417,0.719,0.159,2.9,0.291,-1.2,0,49.3,0.7,0.326,133.7,103
"Abe, Shinnosuke",2017,G,512,8,13.1,0.61,0.262,0.329,0.389,0.718,0.127,0.7,0.274,-4.8,-0.4,54.7,1,0.323,132.4,98
"Tonosaki, Shuta",2017,L,489,6.7,22.3,0.3,0.258,0.315,0.39,0.706,0.132,6.6,0.32,6.5,2.4,51.4,-0.6,0.322,133.9,96
"Nakata, Sho",2017,F,542,11.3,19,0.59,0.216,0.31,0.367,0.676,0.15,1.3,0.241,0.3,-0.4,53,-4.6,0.313,133.2,94
"Genda, Sosuke",2017,L,647,5.6,15.5,0.36,0.27,0.317,0.351,0.669,0.082,8.1,0.319,7.7,2.1,61.7,-7,0.31,133.8,85
"Koyano, Eiichi",2017,Bs,506,5.5,11.9,0.47,0.277,0.32,0.349,0.669,0.072,1.2,0.305,-2.6,-,46.5,-7.3,0.305,131.4,90
"Kyoda, Yota",2017,D,602,3,17.4,0.17,0.264,0.297,0.355,0.652,0.09,6.7,0.318,3.4,-1.1,54.8,-8.4,0.303,132.3,84
"Nakamura, Yuhei",2017,S,486,8.6,13.4,0.65,0.243,0.324,0.325,0.649,0.081,3.4,0.277,3.7,0,43.9,-7.2,0.302,133.1,73
"Matsumoto, Go",2017,F,448,4.7,13.6,0.34,0.274,0.314,0.353,0.667,0.08,3.2,0.312,3,-0.2,39.9,-7.8,0.301,133.6,88
"Kuramoto, Toshihiko",2017,DB,539,3.3,18.9,0.18,0.262,0.292,0.331,0.624,0.069,3,0.324,1.6,0.1,41.6,-15,0.285,131.5,69
"Kajitani, Takayuki",2017,DB,578,10.7,27.2,0.39,0.243,0.327,0.427,0.754,0.184,5.8,0.307,4.8,2.2,71.2,10.6,0.344,133.3,106
"Uebayashi, Seiji",2017,H,453,5.3,21.2,0.25,0.26,0.302,0.434,0.736,0.173,5.8,0.308,0.4,-2.5,49.2,1,0.326,133,101
"Laird, Brandon",2017,F,571,9.5,21.9,0.43,0.229,0.308,0.459,0.767,0.231,0.9,0.235,-2.3,-,69.9,9.2,0.344,131.2,117
"Sakaguchi, Tomotaka",2017,S,607,9.7,12.5,0.78,0.29,0.364,0.35,0.713,0.06,2.5,0.33,-0.1,-0.4,68.8,5.1,0.332,133.1,96
"Nakamura, Takeya",2017,L,486,12.6,24.3,0.52,0.217,0.319,0.446,0.765,0.229,2.3,0.228,1.8,0.2,60.8,9.2,0.348,133.9,112
"Abe, Tomohiro",2017,C,455,5.9,20.7,0.29,0.31,0.354,0.4,0.754,0.09,6.3,0.392,-1.4,0.9,57.1,9.4,0.347,131.1,111
"Yanagita, Yuki",2017,H,551,16.2,22.3,0.72,0.31,0.426,0.589,1.016,0.279,4,0.359,5.1,-0.4,108.4,49.8,0.441,133.4,183
"Akiyama, Shogo",2017,L,659,10.9,14.7,0.74,0.322,0.398,0.536,0.933,0.214,5.5,0.348,4.7,0.6,115.3,45.3,0.412,134.1,161
"Suzuki, Seiya",2017,C,512,12.1,15.6,0.78,0.3,0.389,0.547,0.936,0.247,4.6,0.311,3.6,0.3,90,36.3,0.412,132.6,159
"Maru, Yoshihiro",2017,C,651,12.7,17.4,0.73,0.308,0.398,0.505,0.903,0.198,5.1,0.347,4.3,0.9,110.2,41.9,0.404,130.7,153
"Tsutsugo, Yoshitomo",2017,DB,601,15.5,19.1,0.81,0.284,0.396,0.513,0.909,0.229,1.8,0.317,-5.3,0.2,100.7,37.6,0.402,133.1,149
"McGehee, Casey",2017,G,586,9.9,18.3,0.54,0.315,0.382,0.514,0.897,0.199,2.7,0.366,-2.8,0.3,96.7,35.2,0.398,132.2,147
"Mogi, Eigoro",2017,E,450,10,18.7,0.54,0.296,0.37,0.497,0.867,0.201,3.4,0.339,1.3,-0.3,70.8,23,0.39,132.2,147
"Balentien, Wladimir",2017,S,519,13.5,21.6,0.63,0.254,0.358,0.506,0.864,0.252,1.2,0.268,-0.9,-0.4,81.6,27.1,0.388,132.7,133
"Okada, Takahiro",2017,Bs,593,14,23.8,0.59,0.266,0.374,0.488,0.862,0.222,1.9,0.309,0.9,-0.1,92.6,29.6,0.388,133.4,149
"Lopez, Jose",2017,DB,606,4.5,13.2,0.34,0.301,0.33,0.533,0.863,0.232,1.1,0.302,-0.1,-,94.3,30.7,0.386,132.6,133
"Itoi, Yoshio",2017,T,493,12,12.6,0.95,0.29,0.381,0.447,0.829,0.157,4,0.306,0.5,1.1,76.2,24.5,0.385,132.2,138
"Miyazaki, Toshiro",2017,DB,523,7.3,9,0.81,0.323,0.377,0.479,0.856,0.156,1.1,0.334,-8.2,-,80.5,25.6,0.384,133,135
"Guerrero, Alex",2017,D,510,4.7,19.2,0.24,0.279,0.333,0.563,0.896,0.284,2.8,0.284,-2.2,0.2,82.4,28.9,0.394,132.8,153
